tag,species,sex,group,breed,pedigree,born,weight_kg,issue
KZ-33-0100,МРС,F,овцематки,едильбаевская,товарное,2022-08,51,нет в ИСЖ
KZ-33-0101,МРС,F,овцематки,едильбаевская,товарное,2021-10,52,
KZ-33-0102,МРС,F,овцематки,едильбаевская,товарное,2021-05,69,
KZ-33-0103,МРС,F,овцематки,едильбаевская,товарное,2021-07,70,
KZ-33-0104,МРС,F,овцематки,едильбаевская,товарное,2020-08,59,
KZ-33-0105,МРС,F,овцематки,едильбаевская,товарное,2020-09,59,
KZ-33-0106,МРС,F,овцематки,едильбаевская,товарное,2023-04,65,
KZ-33-0107,МРС,F,овцематки,едильбаевская,товарное,2025-04,62,нет бирки
KZ-33-0108,МРС,F,овцематки,едильбаевская,товарное,2022-06,66,нет бирки
KZ-33-0109,МРС,F,овцематки,едильбаевская,товарное,2025-02,57,нет бирки
KZ-33-0110,МРС,F,овцематки,едильбаевская,товарное,2020-10,58,нет бирки
KZ-33-0111,МРС,F,овцематки,едильбаевская,товарное,2022-05,68,
KZ-33-0112,МРС,F,овцематки,едильбаевская,товарное,2024-10,61,
KZ-33-0113,МРС,F,овцематки,едильбаевская,товарное,2021-01,57,нет в ИСЖ
KZ-33-0114,МРС,F,овцематки,едильбаевская,товарное,2022-01,62,
KZ-33-0115,МРС,F,овцематки,едильбаевская,товарное,2023-08,64,
KZ-33-0116,МРС,F,овцематки,едильбаевская,товарное,2022-01,58,
KZ-33-0117,МРС,F,овцематки,едильбаевская,товарное,2023-10,61,
KZ-33-0118,МРС,F,овцематки,едильбаевская,товарное,2025-02,61,
KZ-33-0119,МРС,F,овцематки,едильбаевская,товарное,2021-04,68,
KZ-33-0120,МРС,F,овцематки,едильбаевская,товарное,2023-03,63,
KZ-33-0121,МРС,F,овцематки,едильбаевская,товарное,2025-01,63,
KZ-33-0122,МРС,F,овцематки,едильбаевская,товарное,2022-12,58,
KZ-33-0123,МРС,F,овцематки,едильбаевская,товарное,2023-03,65,
KZ-33-0124,МРС,F,овцематки,едильбаевская,товарное,2021-10,64,
KZ-33-0125,МРС,F,овцематки,едильбаевская,товарное,2021-04,60,нет бирки
KZ-33-0126,МРС,F,овцематки,едильбаевская,товарное,2023-09,59,
KZ-33-0127,МРС,F,овцематки,едильбаевская,товарное,2024-12,62,
KZ-33-0128,МРС,F,овцематки,едильбаевская,товарное,2025-01,77,
KZ-33-0129,МРС,F,овцематки,едильбаевская,товарное,2020-10,70,
KZ-33-0130,МРС,F,овцематки,едильбаевская,товарное,2025-04,58,
KZ-33-0131,МРС,F,овцематки,едильбаевская,товарное,2022-10,74,
KZ-33-0132,МРС,F,овцематки,едильбаевская,товарное,2025-05,57,
KZ-33-0133,МРС,F,овцематки,едильбаевская,товарное,2021-01,64,нет бирки
KZ-33-0134,МРС,F,овцематки,едильбаевская,товарное,2025-04,54,нет в ИСЖ
KZ-33-0135,МРС,F,овцематки,едильбаевская,товарное,2023-11,62,
KZ-33-0136,МРС,F,овцематки,едильбаевская,товарное,2021-07,54,
KZ-33-0137,МРС,F,овцематки,едильбаевская,товарное,2024-09,65,
KZ-33-0138,МРС,F,овцематки,едильбаевская,товарное,2022-02,53,
KZ-33-0139,МРС,F,овцематки,едильбаевская,товарное,2021-12,50,
KZ-33-0140,МРС,F,овцематки,едильбаевская,товарное,2020-12,55,
KZ-33-0141,МРС,F,овцематки,едильбаевская,товарное,2023-04,53,нет в ИСЖ
KZ-33-0142,МРС,F,овцематки,едильбаевская,товарное,2022-05,58,
KZ-33-0143,МРС,F,овцематки,едильбаевская,товарное,2022-02,64,нет бирки
KZ-33-0144,МРС,F,овцематки,едильбаевская,товарное,2025-04,73,
KZ-33-0145,МРС,F,овцематки,едильбаевская,товарное,2021-05,57,
KZ-33-0146,МРС,F,овцематки,едильбаевская,товарное,2020-12,68,
KZ-33-0147,МРС,F,овцематки,едильбаевская,товарное,2024-02,52,
KZ-33-0148,МРС,F,овцематки,едильбаевская,товарное,2021-08,60,
KZ-33-0149,МРС,F,овцематки,едильбаевская,товарное,2023-01,65,
KZ-33-0150,МРС,F,овцематки,едильбаевская,товарное,2023-04,62,
KZ-33-0151,МРС,F,овцематки,едильбаевская,товарное,2023-01,58,
KZ-33-0152,МРС,F,овцематки,едильбаевская,товарное,2023-07,64,нет бирки
KZ-33-0153,МРС,F,овцематки,едильбаевская,товарное,2024-06,54,
KZ-33-0154,МРС,F,овцематки,едильбаевская,товарное,2024-12,59,
KZ-33-0155,МРС,F,овцематки,едильбаевская,товарное,2025-01,51,нет в ИСЖ
KZ-33-0156,МРС,F,овцематки,едильбаевская,товарное,2023-08,64,
KZ-33-0157,МРС,F,овцематки,едильбаевская,товарное,2024-03,62,нет бирки
KZ-33-0158,МРС,F,овцематки,едильбаевская,товарное,2024-01,61,
KZ-33-0159,МРС,F,овцематки,едильбаевская,товарное,2024-02,62,нет бирки
KZ-33-0160,МРС,F,овцематки,едильбаевская,товарное,2022-10,60,
KZ-33-0161,МРС,F,овцематки,едильбаевская,товарное,2024-05,54,нет в ИСЖ
KZ-33-0162,МРС,F,овцематки,едильбаевская,товарное,2021-08,56,нет бирки
KZ-33-0163,МРС,F,овцематки,едильбаевская,товарное,2021-06,41,
KZ-33-0164,МРС,F,овцематки,едильбаевская,товарное,2022-07,56,нет в ИСЖ
KZ-33-0165,МРС,F,овцематки,едильбаевская,товарное,2025-04,63,
KZ-33-0166,МРС,F,овцематки,едильбаевская,товарное,2022-12,62,
KZ-33-0167,МРС,F,овцематки,едильбаевская,товарное,2024-08,63,
KZ-33-0168,МРС,F,овцематки,едильбаевская,товарное,2022-08,52,нет бирки
KZ-33-0169,МРС,F,овцематки,едильбаевская,товарное,2021-11,63,нет в ИСЖ
KZ-33-0170,МРС,F,овцематки,едильбаевская,товарное,2025-02,62,нет в ИСЖ
KZ-33-0171,МРС,F,овцематки,едильбаевская,товарное,2022-07,64,
KZ-33-0172,МРС,F,овцематки,едильбаевская,товарное,2022-09,54,
KZ-33-0173,МРС,F,овцематки,едильбаевская,товарное,2023-01,68,
KZ-33-0174,МРС,F,овцематки,едильбаевская,товарное,2023-05,65,
KZ-33-0175,МРС,F,овцематки,едильбаевская,товарное,2020-10,72,
KZ-33-0176,МРС,F,овцематки,едильбаевская,товарное,2024-06,63,
KZ-33-0177,МРС,F,овцематки,едильбаевская,товарное,2021-08,59,
KZ-33-0178,МРС,F,овцематки,едильбаевская,товарное,2021-03,53,
KZ-33-0179,МРС,F,овцематки,едильбаевская,товарное,2021-07,68,
KZ-33-0180,МРС,F,овцематки,едильбаевская,товарное,2024-08,60,нет в ИСЖ
KZ-33-0181,МРС,F,овцематки,едильбаевская,товарное,2021-12,53,
KZ-33-0182,МРС,F,овцематки,едильбаевская,товарное,2021-06,60,
KZ-33-0183,МРС,F,овцематки,едильбаевская,товарное,2021-12,54,
KZ-33-0184,МРС,F,овцематки,едильбаевская,товарное,2023-10,51,
KZ-33-0185,МРС,F,овцематки,едильбаевская,товарное,2023-09,48,
KZ-33-0186,МРС,F,овцематки,едильбаевская,товарное,2021-01,64,
KZ-33-0187,МРС,F,овцематки,едильбаевская,товарное,2020-11,52,
KZ-33-0188,МРС,F,овцематки,едильбаевская,товарное,2021-03,65,
KZ-33-0189,МРС,F,овцематки,едильбаевская,товарное,2024-09,67,нет бирки
KZ-33-0190,МРС,F,овцематки,едильбаевская,товарное,2025-04,67,нет в ИСЖ
KZ-33-0191,МРС,F,овцематки,едильбаевская,товарное,2022-05,54,
KZ-33-0192,МРС,F,овцематки,едильбаевская,товарное,2021-01,64,
KZ-33-0193,МРС,F,овцематки,едильбаевская,товарное,2021-03,61,
KZ-33-0194,МРС,F,овцематки,едильбаевская,товарное,2023-06,65,
KZ-33-0195,МРС,F,овцематки,едильбаевская,товарное,2021-08,67,
KZ-33-0196,МРС,F,овцематки,едильбаевская,товарное,2024-11,51,
KZ-33-0197,МРС,F,овцематки,едильбаевская,товарное,2023-05,56,
KZ-33-0198,МРС,F,овцематки,едильбаевская,товарное,2023-08,55,нет бирки
KZ-33-0199,МРС,F,овцематки,едильбаевская,товарное,2022-05,72,
KZ-33-0200,МРС,F,овцематки,едильбаевская,товарное,2021-02,69,нет в ИСЖ
KZ-33-0201,МРС,F,овцематки,едильбаевская,товарное,2024-05,55,
KZ-33-0202,МРС,F,овцематки,едильбаевская,товарное,2022-02,52,
KZ-33-0203,МРС,F,овцематки,едильбаевская,товарное,2024-03,57,нет в ИСЖ
KZ-33-0204,МРС,F,овцематки,едильбаевская,товарное,2024-08,71,нет бирки
KZ-33-0205,МРС,F,овцематки,едильбаевская,товарное,2023-08,61,
KZ-33-0206,МРС,F,овцематки,едильбаевская,товарное,2025-02,62,нет бирки
KZ-33-0207,МРС,F,овцематки,едильбаевская,товарное,2022-05,56,
KZ-33-0208,МРС,F,овцематки,едильбаевская,товарное,2022-02,60,нет бирки
KZ-33-0209,МРС,F,овцематки,едильбаевская,товарное,2022-04,58,
KZ-33-0210,МРС,F,овцематки,едильбаевская,товарное,2023-06,70,
KZ-33-0211,МРС,F,овцематки,едильбаевская,товарное,2022-06,42,нет бирки
KZ-33-0212,МРС,F,овцематки,едильбаевская,товарное,2023-03,61,нет бирки
KZ-33-0213,МРС,F,овцематки,едильбаевская,товарное,2022-10,54,
KZ-33-0214,МРС,F,овцематки,едильбаевская,товарное,2023-04,69,нет бирки
KZ-33-0215,МРС,F,овцематки,едильбаевская,товарное,2023-05,58,нет в ИСЖ
KZ-33-0216,МРС,F,овцематки,едильбаевская,товарное,2023-08,71,нет бирки
KZ-33-0217,МРС,F,овцематки,едильбаевская,товарное,2025-06,64,нет бирки
KZ-33-0218,МРС,F,овцематки,едильбаевская,товарное,2023-12,62,
KZ-33-0219,МРС,F,овцематки,едильбаевская,товарное,2025-03,62,
KZ-33-0220,МРС,F,овцематки,едильбаевская,товарное,2023-02,60,
KZ-33-0221,МРС,F,овцематки,едильбаевская,товарное,2023-06,58,нет бирки
KZ-33-0222,МРС,F,овцематки,едильбаевская,товарное,2024-01,60,нет в ИСЖ
KZ-33-0223,МРС,F,овцематки,едильбаевская,товарное,2021-02,56,
KZ-33-0224,МРС,F,овцематки,едильбаевская,товарное,2022-01,67,
KZ-33-0225,МРС,F,овцематки,едильбаевская,товарное,2023-02,61,нет в ИСЖ
KZ-33-0226,МРС,F,овцематки,едильбаевская,товарное,2023-11,63,
KZ-33-0227,МРС,F,овцематки,едильбаевская,товарное,2025-04,58,
KZ-33-0228,МРС,F,овцематки,едильбаевская,товарное,2024-12,71,
KZ-33-0229,МРС,F,овцематки,едильбаевская,товарное,2024-09,62,
KZ-33-0230,МРС,F,овцематки,едильбаевская,товарное,2020-08,68,
KZ-33-0231,МРС,F,овцематки,едильбаевская,товарное,2021-10,65,
KZ-33-0232,МРС,F,овцематки,едильбаевская,товарное,2023-11,63,
KZ-33-0233,МРС,F,овцематки,едильбаевская,товарное,2021-03,60,
KZ-33-0234,МРС,F,овцематки,едильбаевская,товарное,2024-08,67,
KZ-33-0235,МРС,F,овцематки,едильбаевская,товарное,2021-03,57,
KZ-33-0236,МРС,F,овцематки,едильбаевская,товарное,2024-10,53,
KZ-33-0237,МРС,F,овцематки,едильбаевская,товарное,2022-01,57,
KZ-33-0238,МРС,F,овцематки,едильбаевская,товарное,2023-10,57,
KZ-33-0239,МРС,F,овцематки,едильбаевская,товарное,2022-06,67,нет в ИСЖ
KZ-33-0240,МРС,F,овцематки,едильбаевская,товарное,2025-02,55,
KZ-33-0241,МРС,F,овцематки,едильбаевская,товарное,2024-04,55,
KZ-33-0242,МРС,F,овцематки,едильбаевская,товарное,2024-02,45,
KZ-33-0243,МРС,F,овцематки,едильбаевская,товарное,2024-05,56,
KZ-33-0244,МРС,F,овцематки,едильбаевская,товарное,2022-08,58,
KZ-33-0245,МРС,F,овцематки,едильбаевская,товарное,2024-08,65,
KZ-33-0246,МРС,F,овцематки,едильбаевская,товарное,2022-10,56,
KZ-33-0247,МРС,F,овцематки,едильбаевская,товарное,2024-09,62,
KZ-33-0248,МРС,F,овцематки,едильбаевская,товарное,2023-08,68,
KZ-33-0249,МРС,F,овцематки,едильбаевская,товарное,2020-09,57,
KZ-33-0250,МРС,F,овцематки,едильбаевская,товарное,2022-05,67,нет бирки
KZ-33-0251,МРС,F,овцематки,едильбаевская,товарное,2024-03,63,нет бирки
KZ-33-0252,МРС,F,овцематки,едильбаевская,товарное,2020-08,60,нет в ИСЖ
KZ-33-0253,МРС,F,овцематки,едильбаевская,товарное,2022-09,67,
KZ-33-0254,МРС,F,овцематки,едильбаевская,товарное,2024-09,62,
KZ-33-0255,МРС,F,овцематки,едильбаевская,товарное,2024-11,59,
KZ-33-0256,МРС,F,овцематки,едильбаевская,товарное,2024-08,57,нет в ИСЖ
KZ-33-0257,МРС,F,овцематки,едильбаевская,товарное,2025-03,69,
KZ-33-0258,МРС,F,овцематки,едильбаевская,товарное,2022-08,60,нет в ИСЖ
KZ-33-0259,МРС,F,овцематки,едильбаевская,товарное,2022-12,57,
KZ-33-0260,МРС,F,овцематки,едильбаевская,товарное,2022-04,64,
KZ-33-0261,МРС,F,овцематки,едильбаевская,товарное,2024-05,61,
KZ-33-0262,МРС,F,овцематки,едильбаевская,товарное,2023-08,53,
KZ-33-0263,МРС,F,овцематки,едильбаевская,товарное,2023-02,59,нет в ИСЖ
KZ-33-0264,МРС,F,овцематки,едильбаевская,товарное,2025-06,64,нет в ИСЖ
KZ-33-0265,МРС,F,овцематки,едильбаевская,товарное,2022-08,59,
KZ-33-0266,МРС,F,овцематки,едильбаевская,товарное,2021-07,64,
KZ-33-0267,МРС,F,овцематки,едильбаевская,товарное,2020-12,57,
KZ-33-0268,МРС,F,овцематки,едильбаевская,товарное,2022-11,61,
KZ-33-0269,МРС,F,овцематки,едильбаевская,товарное,2024-10,64,
KZ-33-0270,МРС,F,овцематки,едильбаевская,товарное,2022-08,63,
KZ-33-0271,МРС,F,овцематки,едильбаевская,товарное,2021-10,66,нет в ИСЖ
KZ-33-0272,МРС,F,овцематки,едильбаевская,товарное,2020-12,52,
KZ-33-0273,МРС,F,овцематки,едильбаевская,товарное,2023-09,55,
KZ-33-0274,МРС,F,овцематки,едильбаевская,товарное,2020-12,57,нет в ИСЖ
KZ-33-0275,МРС,F,овцематки,едильбаевская,товарное,2021-02,60,нет в ИСЖ
KZ-33-0276,МРС,F,овцематки,едильбаевская,товарное,2025-06,59,
KZ-33-0277,МРС,F,овцематки,едильбаевская,товарное,2021-07,70,
KZ-33-0278,МРС,F,овцематки,едильбаевская,товарное,2021-12,60,
KZ-33-0279,МРС,F,овцематки,едильбаевская,товарное,2021-06,61,нет в ИСЖ
KZ-33-0280,МРС,F,овцематки,едильбаевская,товарное,2025-04,63,
KZ-33-0281,МРС,F,овцематки,едильбаевская,товарное,2025-05,61,
KZ-33-0282,МРС,F,овцематки,едильбаевская,товарное,2021-11,58,
KZ-33-0283,МРС,F,овцематки,едильбаевская,товарное,2022-08,42,
KZ-33-0284,МРС,F,овцематки,едильбаевская,товарное,2023-09,51,
KZ-33-0285,МРС,F,овцематки,едильбаевская,товарное,2022-10,52,
KZ-33-0286,МРС,F,овцематки,едильбаевская,товарное,2024-04,64,
KZ-33-0287,МРС,F,овцематки,едильбаевская,товарное,2021-06,45,
KZ-33-0288,МРС,F,овцематки,едильбаевская,товарное,2023-12,66,
KZ-33-0289,МРС,F,овцематки,едильбаевская,товарное,2022-05,59,
KZ-33-0290,МРС,F,овцематки,едильбаевская,товарное,2022-03,65,
KZ-33-0291,МРС,F,овцематки,едильбаевская,товарное,2023-12,57,
KZ-33-0292,МРС,F,овцематки,едильбаевская,товарное,2021-11,61,нет бирки
KZ-33-0293,МРС,F,овцематки,едильбаевская,товарное,2022-04,61,
KZ-33-0294,МРС,F,овцематки,едильбаевская,товарное,2020-12,57,
KZ-33-0295,МРС,F,овцематки,едильбаевская,товарное,2020-11,55,
KZ-33-0296,МРС,F,овцематки,едильбаевская,товарное,2024-11,56,нет в ИСЖ
KZ-33-0297,МРС,F,овцематки,едильбаевская,товарное,2021-08,59,
KZ-33-0298,МРС,F,овцематки,едильбаевская,товарное,2024-05,62,
KZ-33-0299,МРС,F,овцематки,едильбаевская,товарное,2022-12,55,
KZ-33-0300,МРС,F,овцематки,едильбаевская,товарное,2020-12,65,
KZ-33-0301,МРС,F,овцематки,едильбаевская,товарное,2021-08,65,нет в ИСЖ
KZ-33-0302,МРС,F,овцематки,едильбаевская,товарное,2023-03,56,
KZ-33-0303,МРС,F,овцематки,едильбаевская,товарное,2024-04,73,нет в ИСЖ
KZ-33-0304,МРС,F,овцематки,едильбаевская,товарное,2025-05,67,
KZ-33-0305,МРС,F,овцематки,едильбаевская,товарное,2021-05,61,
KZ-33-0306,МРС,F,овцематки,едильбаевская,товарное,2021-10,62,
KZ-33-0307,МРС,F,овцематки,едильбаевская,товарное,2023-09,65,
KZ-33-0308,МРС,F,овцематки,едильбаевская,товарное,2024-12,66,
KZ-33-0309,МРС,F,овцематки,едильбаевская,товарное,2022-02,58,
KZ-33-0310,МРС,F,овцематки,едильбаевская,товарное,2021-06,65,
KZ-33-0311,МРС,F,овцематки,едильбаевская,товарное,2025-03,71,
KZ-33-0312,МРС,F,овцематки,едильбаевская,товарное,2022-07,58,
KZ-33-0313,МРС,F,овцематки,едильбаевская,товарное,2023-11,45,
KZ-33-0314,МРС,F,овцематки,едильбаевская,товарное,2020-08,55,
KZ-33-0315,МРС,F,овцематки,едильбаевская,товарное,2022-07,61,нет бирки
KZ-33-0316,МРС,F,овцематки,едильбаевская,товарное,2024-05,62,нет бирки
KZ-33-0317,МРС,F,овцематки,едильбаевская,товарное,2023-11,69,
KZ-33-0318,МРС,F,овцематки,едильбаевская,товарное,2022-08,67,
KZ-33-0319,МРС,F,овцематки,едильбаевская,товарное,2024-11,69,
KZ-33-0320,МРС,F,овцематки,едильбаевская,товарное,2023-09,59,
KZ-33-0321,МРС,F,овцематки,едильбаевская,товарное,2024-09,69,
KZ-33-0322,МРС,F,овцематки,едильбаевская,товарное,2024-10,63,нет бирки
KZ-33-0323,МРС,F,овцематки,едильбаевская,товарное,2022-04,61,
KZ-33-0324,МРС,F,овцематки,едильбаевская,товарное,2025-02,61,
KZ-33-0325,МРС,F,овцематки,едильбаевская,товарное,2021-12,63,
KZ-33-0326,МРС,F,овцематки,едильбаевская,товарное,2022-07,71,
KZ-33-0327,МРС,F,овцематки,едильбаевская,товарное,2022-11,56,
KZ-33-0328,МРС,F,овцематки,едильбаевская,товарное,2023-09,71,
KZ-33-0329,МРС,F,овцематки,едильбаевская,товарное,2023-07,58,
KZ-33-0330,МРС,F,овцематки,едильбаевская,товарное,2023-10,69,нет в ИСЖ
KZ-33-0331,МРС,F,овцематки,едильбаевская,товарное,2024-01,63,
KZ-33-0332,МРС,F,овцематки,едильбаевская,товарное,2023-10,67,
KZ-33-0333,МРС,F,овцематки,едильбаевская,товарное,2023-01,54,
KZ-33-0334,МРС,F,овцематки,едильбаевская,товарное,2021-09,54,нет в ИСЖ
